label,master_id,source_status,pretest_probability,post_test_probability_negative
Rout >12,FT-010,peer_reviewed_full_report,0.8525,0.7970272485353787
Rout >12,FT-010,peer_reviewed_full_report,0.855,0.8002471586880331
Rout >12,FT-010,peer_reviewed_full_report,0.8574999999999999,0.8034741869733198
Rout >12,FT-010,peer_reviewed_full_report,0.8600000000000001,0.8067083570210348
Rout >12,FT-010,peer_reviewed_full_report,0.8625,0.8099496925656792
Rout >12,FT-010,peer_reviewed_full_report,0.865,0.8131982174470422
Rout >12,FT-010,peer_reviewed_full_report,0.8674999999999999,0.8164539556107845
Rout >12,FT-010,peer_reviewed_full_report,0.8700000000000001,0.8197169311090265
Rout >12,FT-010,peer_reviewed_full_report,0.8725,0.8229871681009403
Rout >12,FT-010,peer_reviewed_full_report,0.875,0.826264690853347
Rout >12,FT-010,peer_reviewed_full_report,0.8775,0.8295495237413163
Rout >12,FT-010,peer_reviewed_full_report,0.8800000000000001,0.832841691248771
Rout >12,FT-010,peer_reviewed_full_report,0.8825000000000001,0.8361412179690946
Rout >12,FT-010,peer_reviewed_full_report,0.885,0.8394481286057446
Rout >12,FT-010,peer_reviewed_full_report,0.8875,0.8427624479728688
Rout >12,FT-010,peer_reviewed_full_report,0.8900000000000001,0.846084200995926
Rout >12,FT-010,peer_reviewed_full_report,0.8925000000000001,0.8494134127123096
Rout >12,FT-010,peer_reviewed_full_report,0.895,0.8527501082719793
Rout >12,FT-010,peer_reviewed_full_report,0.8975,0.8560943129380916
Rout >12,FT-010,peer_reviewed_full_report,0.9,0.8594460520876396
Rout >14,FT-010,peer_reviewed_full_report,0.2,0.11004784688995212
Rout >14,FT-010,peer_reviewed_full_report,0.2025,0.1115802713143473
Rout >14,FT-010,peer_reviewed_full_report,0.20500000000000002,0.11311701553409703
Rout >14,FT-010,peer_reviewed_full_report,0.20750000000000002,0.11465809784077598
Rout >14,FT-010,peer_reviewed_full_report,0.21000000000000002,0.11620353662937564
Rout >14,FT-010,peer_reviewed_full_report,0.21250000000000002,0.11775335039903627
Rout >14,FT-010,peer_reviewed_full_report,0.21500000000000002,0.11930755775378488
Rout >14,FT-010,peer_reviewed_full_report,0.21750000000000003,0.12086617740327985
Rout >14,FT-010,peer_reviewed_full_report,0.22,0.12242922816356151
Rout >14,FT-010,peer_reviewed_full_report,0.2225,0.12399672895780957
Rout >14,FT-010,peer_reviewed_full_report,0.225,0.12556869881710642
Rout >14,FT-010,peer_reviewed_full_report,0.2275,0.12714515688120762
Rout >14,FT-010,peer_reviewed_full_report,0.23,0.1287261223993186
Rout >14,FT-010,peer_reviewed_full_report,0.2325,0.13031161473087813
Rout >14,FT-010,peer_reviewed_full_report,0.23500000000000001,0.13190165334634857
Rout >14,FT-010,peer_reviewed_full_report,0.23750000000000002,0.1334962578280128
Rout >14,FT-010,peer_reviewed_full_report,0.24000000000000002,0.13509544787077823
Rout >14,FT-010,peer_reviewed_full_report,0.24250000000000002,0.13669924328298763
Rout >14,FT-010,peer_reviewed_full_report,0.245,0.13830766398723685
Rout >14,FT-010,peer_reviewed_full_report,0.2475,0.13992073002120006
Rout >14,FT-010,peer_reviewed_full_report,0.25,0.14153846153846147
Rout >14,FT-010,peer_reviewed_full_report,0.2525,0.143160878809355
Rout >14,FT-010,peer_reviewed_full_report,0.255,0.1447880022218107
Rout >14,FT-010,peer_reviewed_full_report,0.2575,0.1464198522822089
Rout >14,FT-010,peer_reviewed_full_report,0.26,0.1480564496162416
Rout >14,FT-010,peer_reviewed_full_report,0.2625,0.14969781496978143
Rout >14,FT-010,peer_reviewed_full_report,0.265,0.15134396920975846
Rout >14,FT-010,peer_reviewed_full_report,0.2675,0.15299493332504424
Rout >14,FT-010,peer_reviewed_full_report,0.27,0.154650728427344
Rout >14,FT-010,peer_reviewed_full_report,0.2725,0.15631137575209647
Rout >14,FT-010,peer_reviewed_full_report,0.275,0.1579768966593818
Rout >14,FT-010,peer_reviewed_full_report,0.2775,0.15964731263483722
Rout >14,FT-010,peer_reviewed_full_report,0.28,0.16132264529058113
Rout >14,FT-010,peer_reviewed_full_report,0.28250000000000003,0.16300291636614503
Rout >14,FT-010,peer_reviewed_full_report,0.28500000000000003,0.16468814772941395
Rout >14,FT-010,peer_reviewed_full_report,0.28750000000000003,0.16637836137757508
Rout >14,FT-010,peer_reviewed_full_report,0.29000000000000004,0.16807357943807477
Rout >14,FT-010,peer_reviewed_full_report,0.2925,0.16977382416958448
Rout >14,FT-010,peer_reviewed_full_report,0.29500000000000004,0.17147911796297466
Rout >14,FT-010,peer_reviewed_full_report,0.2975,0.1731894833422975
Rout >14,FT-010,peer_reviewed_full_report,0.30000000000000004,0.17490494296577944
Rout >14,FT-010,peer_reviewed_full_report,0.3025,0.1766255196268206
Rout >14,FT-010,peer_reviewed_full_report,0.305,0.17835123625500532
Rout >14,FT-010,peer_reviewed_full_report,0.3075,0.18008211591712014
Rout >14,FT-010,peer_reviewed_full_report,0.31,0.18181818181818177
Rout >14,FT-010,peer_reviewed_full_report,0.3125,0.183559457302474
Rout >14,FT-010,peer_reviewed_full_report,0.315,0.18530596585459422
Rout >14,FT-010,peer_reviewed_full_report,0.3175,0.18705773110050905
Rout >14,FT-010,peer_reviewed_full_report,0.32,0.18881477680861974
Rout >14,FT-010,peer_reviewed_full_report,0.3225,0.1905771268908372
Rout >14,FT-010,peer_reviewed_full_report,0.325,0.1923448054036667
Rout >14,FT-010,peer_reviewed_full_report,0.3275,0.1941178365493025
Rout >14,FT-010,peer_reviewed_full_report,0.33,0.19589624467673242
Rout >14,FT-010,peer_reviewed_full_report,0.3325,0.19768005428285237
Rout >14,FT-010,peer_reviewed_full_report,0.335,0.19946929001359132
Rout >14,FT-010,peer_reviewed_full_report,0.3375,0.2012639766650461
Rout >14,FT-010,peer_reviewed_full_report,0.34,0.20306413918462732
Rout >14,FT-010,peer_reviewed_full_report,0.3425,0.20486980267221475
Rout >14,FT-010,peer_reviewed_full_report,0.345,0.20668099238132437
Rout >14,FT-010,peer_reviewed_full_report,0.34750000000000003,0.2084977337202856
Rout >14,FT-010,peer_reviewed_full_report,0.35,0.21032005225342904
Rout >14,FT-010,peer_reviewed_full_report,0.35250000000000004,0.21214797370228627
Rout >14,FT-010,peer_reviewed_full_report,0.355,0.21398152394679937
Rout >14,FT-010,peer_reviewed_full_report,0.35750000000000004,0.2158207290265428
Rout >14,FT-010,peer_reviewed_full_report,0.36,0.21766561514195576
Rout >14,FT-010,peer_reviewed_full_report,0.36250000000000004,0.21951620865558658
Rout >14,FT-010,peer_reviewed_full_report,0.365,0.2213725360933482
Rout >14,FT-010,peer_reviewed_full_report,0.36750000000000005,0.22323462414578582
Rout >14,FT-010,peer_reviewed_full_report,0.37,0.22510249966935586
Rout >14,FT-010,peer_reviewed_full_report,0.37250000000000005,0.2269761896877173
Rout >14,FT-010,peer_reviewed_full_report,0.375,0.22885572139303476
Rout >14,FT-010,peer_reviewed_full_report,0.3775,0.23074112214729423
Rout >14,FT-010,peer_reviewed_full_report,0.38,0.2326324194836305
Rout >14,FT-010,peer_reviewed_full_report,0.3825,0.2345296411076676
Rout >14,FT-010,peer_reviewed_full_report,0.385,0.23643281489887186
Rout >14,FT-010,peer_reviewed_full_report,0.3875,0.238341968911917
Rout >14,FT-010,peer_reviewed_full_report,0.39,0.24025713137806343
Rout >14,FT-010,peer_reviewed_full_report,0.3925,0.242178330706549
Rout >14,FT-010,peer_reviewed_full_report,0.395,0.24410559548599442
Rout >14,FT-010,peer_reviewed_full_report,0.3975,0.2460389544858209
Rout >14,FT-010,peer_reviewed_full_report,0.4,0.24797843665768185
Rout >14,FT-010,peer_reviewed_full_report,0.4025,0.24992407113690812
Rout >14,FT-010,peer_reviewed_full_report,0.405,0.2518758872439667
Rout >14,FT-010,peer_reviewed_full_report,0.40750000000000003,0.25383391448593373
Rout >14,FT-010,peer_reviewed_full_report,0.41000000000000003,0.25579818255798176
